city,year,raw_rows_in,harmonized_rows_out,rows_dropped,request_id_missing,request_id_duplicate_rows,created_date_unparsed,created_date_missing,created_date_outside_source_year,closed_date_present,closed_date_unparsed,closed_date_missing,status_missing,category_missing,descriptor_missing,agency_missing,latitude_missing,longitude_missing,area_missing
nyc,2021,3220882,3220882,0,0,0,0,0,0,3189291,0,31591,0,0,32848,0,71686,71686,6962
nyc,2022,3169960,3169960,0,0,0,0,0,0,3144710,0,25250,0,0,35332,0,50583,50583,0
nyc,2023,3224723,3224723,0,0,0,0,0,0,3162700,0,62023,0,0,39318,0,48579,48579,0
nyc,2024,3456769,3456769,0,0,0,0,0,0,3393323,0,63446,0,0,39524,0,52735,52735,0
nyc,2025,3655040,3655040,0,0,0,0,0,0,3599200,0,55840,0,0,8320,0,50148,50148,0
chicago,2021,1831871,1831871,0,0,0,0,0,0,1822521,0,9350,0,0,0,0,1709,1709,2422
chicago,2022,1783858,1783858,0,0,0,0,0,0,1776844,0,7014,0,0,0,0,1201,1201,1886
chicago,2023,1781009,1781009,0,0,0,0,0,0,1768858,0,12151,0,0,0,0,641,641,1205
chicago,2024,1913929,1913929,0,0,0,0,0,0,1889164,0,24765,0,0,0,0,1062,1062,1650
chicago,2025,1960595,1960595,0,0,0,0,0,0,1926007,0,34588,0,0,0,0,1135,1135,1809
boston,2021,269665,269665,0,0,0,0,0,0,255798,0,13867,0,0,0,0,1144,1144,2015
boston,2022,272931,272931,0,0,0,0,0,0,256449,0,16482,0,0,0,0,874,874,1644
boston,2023,307791,307791,0,0,0,0,0,0,289099,0,18692,0,0,0,0,1371,1371,2049
boston,2024,306756,306756,0,0,0,0,0,0,256831,0,49925,0,0,0,0,1233,1233,1806
boston,2025,276093,276093,0,0,0,0,0,0,205841,0,70252,0,0,0,0,1352,1352,1699
los_angeles,2021,1451557,1451557,0,0,0,0,0,0,1449530,0,2027,0,0,0,3,693,693,700
los_angeles,2022,1327883,1327883,0,0,0,0,0,0,1316174,0,11709,0,0,0,1,431,431,434
los_angeles,2023,1345291,1345291,0,0,0,0,0,0,1312627,0,32664,0,0,0,0,1478,1478,1478
los_angeles,2024,1442347,1442347,0,0,0,0,0,0,1373040,0,69307,0,0,0,2,1388,1388,1386
los_angeles,2025,1740370,1740370,0,0,0,0,0,0,1633569,0,106801,0,0,810979,43,110363,110363,138696
